DTW,DistanceNormalization,FeatureNormalization,Clustering,Feature,SteelPenny,RobinsonFoulds
DTW-D,by-max,CMN,Single,BFCC,0.627990708478513,1305.7679659882
DTW-D,by-max,CMN,Complete,BFCC,0.430501206110962,783.791268974715
DTW-D,by-max,CMN,UPGMA,BFCC,0.509220048244438,908.613608308004
DTW-D,by-max,CMN,WPGMA,BFCC,0.470544090056285,901.834767491962
DTW-D,by-max,CMN,UPGMC,BFCC,0.578513356562137,1533.19953562191
DTW-D,by-max,CMN,WPGMC,BFCC,0.644134727061556,1447.92846850007
DTW-D,by-max,CMN,Ward,BFCC,0.427642276422764,666.857168802107
DTW-D,by-max,CMN,NJ,BFCC,0.286375413204682,471.489706081637
DTW-D,by-max,CMN,Single,CQCC,0.440427052622175,1072.55184801568
DTW-D,by-max,CMN,Complete,CQCC,0.359019029750737,687.789997539059
DTW-D,by-max,CMN,UPGMA,CQCC,0.391181988742964,773.209974410121
DTW-D,by-max,CMN,WPGMA,CQCC,0.354623425355133,690.656210202781
DTW-D,by-max,CMN,UPGMC,CQCC,0.552255874207094,1416.63481694113
DTW-D,by-max,CMN,WPGMC,CQCC,0.573805056731886,1310.73624328386
DTW-D,by-max,CMN,Ward,CQCC,0.428607165192531,648.93334596495
DTW-D,by-max,CMN,NJ,CQCC,0.278102385419459,443.120755896687
DTW-D,by-max,CMN,Single,GFCC,0.726873939069061,1478.57076483994
DTW-D,by-max,CMN,Complete,GFCC,0.514249977664612,921.271712356546
DTW-D,by-max,CMN,UPGMA,GFCC,0.632984901277584,1082.71384163873
DTW-D,by-max,CMN,WPGMA,GFCC,0.445680335924238,896.255785119183
DTW-D,by-max,CMN,UPGMC,GFCC,0.720217993388725,1540.21973880774
DTW-D,by-max,CMN,WPGMC,GFCC,0.679799874921826,1279.6749861268
DTW-D,by-max,CMN,Ward,GFCC,0.494836058250692,902.561138554931
DTW-D,by-max,CMN,NJ,GFCC,0.288725096042169,590.897629999899
DTW-D,by-max,CMN,Single,IMFCC,0.486330742428303,1163.44302758608
DTW-D,by-max,CMN,Complete,IMFCC,0.336817653890825,539.905823439703
DTW-D,by-max,CMN,UPGMA,IMFCC,0.339408558920754,550.866162624865
DTW-D,by-max,CMN,WPGMA,IMFCC,0.343437862950058,642.866741189379
DTW-D,by-max,CMN,UPGMC,IMFCC,0.570195658000536,1533.19953562191
DTW-D,by-max,CMN,WPGMC,IMFCC,0.576538908246225,1265.47772675248
DTW-D,by-max,CMN,Ward,IMFCC,0.421951219512195,656.21872547184
DTW-D,by-max,CMN,NJ,IMFCC,0.262431877066023,448.259199391899
DTW-D,by-max,CMN,Single,LFCC,0.448030018761726,993.295037010957
DTW-D,by-max,CMN,Complete,LFCC,0.357428750111677,542.180549687426
DTW-D,by-max,CMN,UPGMA,LFCC,0.350522648083624,574.48627895761
DTW-D,by-max,CMN,WPGMA,LFCC,0.334003394979005,506.272814992991
DTW-D,by-max,CMN,UPGMC,LFCC,0.537675332797284,1435.89030519305
DTW-D,by-max,CMN,WPGMC,LFCC,0.614911105155008,1380.98093881252
DTW-D,by-max,CMN,Ward,LFCC,0.390386848923434,484.456099814405
DTW-D,by-max,CMN,NJ,LFCC,0.263298490127758,472.176813557226
DTW-D,by-max,CMN,Single,logFBank,0.513704994192799,1213.18443659517
